"현재 이름 순으로 데이터 정렬
애매하거나 자료 없는 것 : 그냥 빈칸",,,,,,,,,,,,,,,,,,,,,,,,,,,
,제품명,브랜드,용량,정가 숫자,판매가 숫자,판매처 수 숫자,사은품51,SPF,PA,피부타입,"제품타입(
튜브,펌프,팩트,
스프레이,스틱)",케릭터51,백탁 51,"톤 업,보정 51",미백 51,"보습,수분 51",한글 51,끈적임 51,유분기 51,유.무기자차,베이스겸용 51,특수물질 문자,잔여감 51,워터프루프 51,저자극 51,효과,특징
33,어퓨 퓨어 블록 내추럴 데일리 선크림,어퓨,50,,"4,080",80,,45,3,NA,크림형,,,,,,,,,,,,,,,"수분공급, 생기부여, 피부보호, 피부진정, 피지조절, 백탁현상방지","자외선차단, 흡수력, 지속력, 밀착력"
34,과일나라 헤리에타 데일리 모이스처 선크림,과일나라,70,,"4,100",303,,50,3,"모든피부용, 민감성",튜브형,,,,,,,,,,,,,,,피부보호,"워터프루프, 자외선차단, 지속력"
35,어퓨 퓨어 블록 아쿠아 선 젤,어퓨,50,,"4,130",30,,50,3,NA,젤형,,,,,,,,,,,,,,,수분공급,"자외선차단, 흡수력"
36,한국화장품 산수유 고은결 진 선크림,한국화장품,70,,"4,210",141,,50,3,모든피부용,크림형,,,,,,,,,,,,,,,"영양공급, 피부보호","자외선차단, 주름개선"
37,더 슈뜨 퍼펙션 올 라잇 선크림,더슈뜨,80,,"4,280",5,,50,3,모든피부용,NA,,,,,,,,,,,,,,,NA,"자외선차단, 비타민 함유"
38,해피바스 퍼펙트 선크림,해피바스,80,,"4,360",239,,50,3,NA,크림형,,,,,,,,,,,,,,,피부보호,"워터프루프, 자외선차단, 지속력, 레포츠용"
39,네슈라 오뜨리 블럭 앤 블럭 오리지널 선크림,네슈라,80,,"4,380",140,,42,2,NA,튜브형,,,,,,,,,,,,,,,피부보호,"워터프루프, 자외선차단, 지속력"
40,어퓨 퓨어 블록 톤업 선 베이스,어퓨,50,,"4,400",16,,50,3,NA,튜브형,,,,,,,,,,,,,,,"생기부여, 피부보호, 화이트닝, 피지조절","자외선차단, 지속력, 밀착력"
41,스킨79 워터랩핑 논케미컬 선블럭,스킨79,50,,"4,460",19,,50,3,NA,크림형,,,,,,,,,,,,,,,백탁현상방지,"자외선차단, 저자극"
42,스킨79 워터랩핑 톤업 선틴트,스킨79,50,,"4,460",12,,50,3,모든피부용,튜브형,,,,,,,,,,,,,,,"수분공급, 피부보호, 피부진정, 피부톤보정",밀착력
43,에뛰드하우스 순정 진정 방어 선크림,에뛰드하우스,25,,"4,460",19,,49,2,NA,크림형,,,,,,,,,,,,,,,피부진정,자외선차단
44,과일나라 헤리에타 에코 베이비 선크림,과일나라,80,,"4,550",180,,32,2,NA,크림형,,,,,,,,,,,,,,,NA,자외선차단
45,온더바디 내추럴 리프레쉬 페이스 앤 바디 선 로션,온더바디,150,,"4,570",51,,50,3,NA,크림형,,,,,,,,,,,,,,,"수분공급, 피부보호, 피부진정, 피부투명, 백탁현상방지","자외선차단, 발림성, 보습, 글리세린"
46,엔프라니 세이프 앤 마일드 선 블록,엔프라니,70,,"4,600",6,,50,3,모든피부용,NA,,,,,,,,,,,,,,,NA,"자외선차단, 저자극, 밀착력"
47,더페이스샵 내추럴 선 에코 슈퍼 퍼펙트 선크림,더페이스샵,50,,"4,630",67,,50,3,NA,튜브형,,,,,,,,,,,,,,,피부보호,자외선차단
48,네이처리퍼블릭 캘리포니아 알로에 데일리 선 블럭,네이처리퍼블릭,57,,"4,700",90,,50,4,모든피부용,크림형,,,,,,,,,,,,,,,"수분공급, 피부진정","자외선차단, 밀착력, 천연성분, 보습, 메이크업베이스 겸용, 글리세린"
49,더마하우스 멜라스톱 화이트닝 선크림,더마하우스,50,,"4,820",45,,50,3,모든피부용,튜브형,,,,,,,,,,,,,,,"수분공급, 피부보호, 화이트닝","자외선차단, 밀착력, 발림성, 주름개선, 메이크업베이스 겸용"
50,네이처리퍼블릭 프로방스 카렌듈라 데일리 선 블럭,네이처리퍼블릭,57,,"4,860",16,,50,3,NA,튜브형,,,,,,,,,,,,,,,"수분공급, 피부톤보정, 화이트닝",자외선차단
51,어퓨 파워블록 데일리 선크림,어퓨,50,,"4,890",32,,50,4,모든피부용,크림형,,,,,,,,,,,,,,,피부진정,자외선차단
52,엔프라니 네추어비 아쿠아 톤 업 유브이 블록,엔프라니,70,,"4,890",8,,50,3,모든피부용,NA,,,,,,,,,,,,,,,NA,"자외선차단, 메이크업베이스 겸용"
53,던롭 UV 디펜스 선크림,던롭,50,,"4,900",9,,50,3,NA,NA,,,,,,,,,,,,,,,NA,"자외선차단, 저자극, 지속력"
54,잇츠스킨 유브이 어웨이 퍼펙트 선블럭,잇츠스킨,50,,"4,940",44,,50,3,모든피부용,NA,,,,,,,,,,,,,,,NA,자외선차단
55,보브 원샷 UV컷 _ 앤 드라이 선크림,보브,70,,"4,970",143,,50,3,NA,NA,,,,,,,,,,,,,,,NA,"워터프루프, 자외선차단, 지속력"
56,이니스프리 에코 세이프티 데일리 선블럭,이니스프리,50,,"4,970",23,,35,2,NA,크림형,,,,,,,,,,,,,,,"수분공급, 피부보호","자외선차단, 흡수력, 파라벤 프리, 무광물유, 무동물성원료, 무인공색소"
57,해피바스 마일드 선 크림,해피바스,70,,"4,970",13,,30,2,모든피부용,NA,,,,,,,,,,,,,,,피부보호,자외선차단
58,어퓨 마데카소사이드 선크림,어퓨,40,,"5,020",56,,39,2,모든피부용,크림형,,,,,,,,,,,,,,,NA,"자외선차단, 저자극, 주름개선"
59,해피바스 퍼펙트 페이스 멀티 선,해피바스,50,,"5,020",130,,50,3,NA,튜브형,,,,,,,,,,,,,,,"수분공급, 화이트닝, 피지조절","자외선차단, 무동물성원료"
60,이니스프리 더 미니멈 선크림,이니스프리,40,,"5,070",54,,25,2,민감성,튜브형,,,,,,,,,,,,,,,NA,"자외선차단, 저자극"
61,해피바스 마일드 선 밀크,해피바스,75,,"5,100",7,,50,3,NA,NA,,,,,,,,,,,,,,,"피부보호, 화이트닝","자외선차단, 무동물성원료"
62,라끄베르 엔조이 선 샤인 쿨링 선 보틀,라끄베르,120,,"5,120",82,,50,3,모든피부용,스프레이형,,,,,,,,,,,,,,,NA,"자외선차단, 쿨링감"
63,라끄베르 엔조이 선샤인 데일리 선블록,라끄베르,50,,"5,150",18,,50,3,모든피부용,튜브형,,,,,,,,,,,,,,,"수분공급, 피부활력, 피부보호, 피부진정, 백탁현상방지",자외선차단
64,에뛰드하우스 선 프라이즈 머스트 데일리,에뛰드하우스,50,,"5,150",109,,50,3,모든피부용,젤형,,,,,,,,,,,,,,,"수분공급, 생기부여, 피부보호","자외선차단, 비타민 함유"
65,꽃을든남자 선 펀치 아쿠아 선 에센스,꽃을든남자,70,,"5,170",49,,50,3,모든피부용,크림형,,,,,,,,,,,,,,,수분공급,"자외선차단, 주름개선"
66,더샘 에코 어스 파워 라이트 선크림,더샘,NA,,"5,300",3,,NA,NA,NA,NA,,,,,,,,,,,,,,,NA,NA
67,스킨푸드 로열 허니 착한 선 젤,스킨푸드,50,,"5,300",161,,30,2,"모든피부용, 민감성",젤형,,,,,,,,,,,,,,,피부보호,자외선차단
68,더페이스샵 클린 페이스 오일 프리 선크림,더페이스샵,50,,"5,310",3,,35,2,모든피부용,튜브형,,,,,,,,,,,,,,,피부보호,자외선차단
69,해피바스 아쿠아 모이스춰 선 젤,해피바스,75,,"5,400",77,,50,3,NA,젤형,,,,,,,,,,,,,,,"수분공급, 피부보호","자외선차단, 쿨링감"
70,네슈라 오뜨리 블록&블록 화이트닝 선 크림,네슈라,80,,"5,470",39,,45,3,NA,크림형,,,,,,,,,,,,,,,백탁현상방지,자외선차단
71,해피바스 퍼펙트 선크림,해피바스,175,,"5,470",105,,50,3,NA,크림형,,,,,,,,,,,,,,,"수분공급, 피부보호","워터프루프, 자외선차단, 저자극, 발림성"
